"Interval start","discord udp 1","discord udp 2","discord udp 3"
0,9,0,0
1,1,0,0
2,1,0,0
3,30,0,0
4,28,0,0
5,49,0,0
6,48,0,0
7,51,0,0
8,53,0,0
9,53,0,0
10,15,0,0
11,51,0,0
12,51,0,0
13,50,0,0
14,56,0,0
15,44,0,0
16,26,0,0
17,37,0,0
18,43,0,0
19,53,0,0
20,51,0,0
21,40,0,0
22,52,0,0
23,51,0,0
24,53,0,0
25,51,0,0
26,51,0,0
27,51,0,0
28,51,0,0
29,54,0,0
30,51,0,0
31,51,0,0
32,51,0,0
33,51,0,0
34,54,0,0
35,51,0,0
36,51,0,0
37,51,0,0
38,51,0,0
39,53,0,0
40,45,0,0
41,51,0,0
42,52,0,0
43,29,1,0
44,3,52,0
45,0,42,0
46,0,39,0
47,0,51,0
48,0,51,0
49,0,47,0
50,0,51,0
51,0,51,0
52,0,51,0
53,0,46,0
54,0,53,0
55,0,52,0
56,0,51,0
57,0,51,0
58,0,47,0
59,0,53,0
60,0,51,0
61,0,48,0
62,0,51,0
63,0,51,0
64,0,53,0
65,0,53,0
66,0,51,0
67,0,50,0
68,0,51,0
69,0,47,0
70,0,51,0
71,0,51,0
72,0,27,0
73,0,54,0
74,0,47,0
75,0,51,0
76,0,52,0
77,0,47,0
78,0,51,0
79,0,49,0
80,0,51,0
81,0,53,0
82,0,50,0
83,0,51,0
84,0,53,0
85,0,52,0
86,0,51,0
87,0,51,0
88,0,51,0
89,0,50,0
90,0,51,0
91,0,51,0
92,0,52,0
93,0,52,0
94,0,45,0
95,0,51,0
96,0,51,0
97,0,53,0
98,0,41,0
99,0,45,0
100,0,51,0
101,0,27,0
102,0,51,0
103,0,51,1
104,0,4,38
105,0,0,40
106,0,0,52
107,0,0,29
108,0,0,51
109,0,0,49
110,0,0,51
111,0,0,51
112,0,0,52
113,0,0,47
114,0,0,53
115,0,0,52
116,0,0,51
117,0,0,47
118,0,0,51
119,0,0,53
120,0,0,46
121,0,0,51
122,0,0,51
123,0,0,51
124,0,0,53
125,0,0,52
126,0,0,51
127,0,0,51
128,0,0,44
129,0,0,49
130,0,0,51
131,0,0,22
