"Interval start","discord udp 1"
0,22
1,8
2,23
3,15
4,16
5,16
6,24
7,17
8,16
9,16
10,17
11,17
12,16
13,17
14,17
15,22
16,17
17,16
18,17
19,24
20,16
21,17
22,16
23,17
24,17
25,21
26,16
27,17
28,19
29,16
30,17
31,16
32,17
33,24
34,16
35,17
36,16
37,16
38,16
39,17
40,16
41,17
42,23
43,16
44,16
45,17
46,16
47,18
48,17
49,18
50,16
51,16
52,17
53,16
54,17
55,22
56,16
57,16
58,17
59,16
60,17
61,19
62,16
63,23
64,16
65,16
66,16
67,16
68,15
69,17
70,16
71,17
72,16
73,17
74,16
75,16
76,18
77,17
78,16
79,23
80,16
81,16
82,17
83,15
84,17
85,16
86,17
87,23
88,18
89,18
90,17
91,16
92,16
93,17
94,16
95,17
96,17
97,19
98,18
99,17
100,16
101,17
102,18
103,16
104,18
105,18
106,17
107,18
108,20
109,15
110,16
111,15
112,15
113,16
114,8
115,6
116,15
117,11
118,10
