"Interval start","discord udp 1","discord udp 2"
0,25,0
1,12,0
2,22,0
3,25,0
4,22,0
5,21,0
6,18,0
7,22,0
8,21,0
9,28,0
10,21,0
11,22,0
12,21,0
13,24,0
14,23,0
15,21,0
16,21,0
17,19,0
18,24,0
19,21,0
20,21,0
21,25,0
22,21,0
23,21,0
24,22,0
25,23,0
26,22,0
27,21,0
28,22,0
29,27,0
30,22,0
31,18,0
32,22,0
33,21,0
34,23,0
35,21,0
36,22,0
37,23,0
38,22,0
39,22,0
40,21,0
41,22,0
42,21,0
43,22,0
44,22,0
45,21,0
46,22,0
47,22,0
48,21,0
49,23,0
50,22,0
51,22,0
52,21,0
53,22,0
54,22,0
55,22,0
56,21,0
57,21,0
58,22,0
59,25,0
60,21,0
61,24,0
62,21,0
63,21,0
64,22,0
65,23,0
66,22,0
67,21,0
68,22,0
69,22,0
70,25,0
71,21,0
72,21,0
73,24,0
74,22,0
75,21,0
76,22,0
77,25,0
78,21,0
79,22,0
80,22,0
81,22,0
82,25,0
83,22,0
84,21,0
85,25,0
86,22,0
87,21,0
88,22,0
89,21,0
90,21,0
91,22,0
92,14,0
93,17,0
94,15,0
95,5,0
96,3,0
97,1,0
98,1,0
99,2,0
100,5,0
101,2,2
102,0,11
103,0,16
104,0,21
105,0,21
106,0,22
107,0,21
108,0,22
109,0,21
110,0,20
111,0,21
112,0,21
113,0,23
114,0,25
115,0,20
116,0,21
117,0,21
118,0,21
119,0,20
120,0,22
121,0,20
122,0,21
123,0,20
124,0,21
125,0,20
126,0,23
127,0,20
128,0,20
129,0,21
130,0,22
131,0,20
132,0,21
133,0,20
134,0,21
135,0,19
