"Interval start","discord udp 1","discord udp 2"
0,24,0
1,3,0
2,8,0
3,27,0
4,27,0
5,26,0
6,27,0
7,27,0
8,27,0
9,27,0
10,28,0
11,27,0
12,26,0
13,26,0
14,29,0
15,27,0
16,28,0
17,27,0
18,26,0
19,28,0
20,28,0
21,27,0
22,24,0
23,26,0
24,28,0
25,26,0
26,26,0
27,26,0
28,27,0
29,27,0
30,29,0
31,26,0
32,27,0
33,27,0
34,27,0
35,27,0
36,26,0
37,27,0
38,27,0
39,28,0
40,28,0
41,26,0
42,26,0
43,27,0
44,25,0
45,26,0
46,27,0
47,27,0
48,26,0
49,29,0
50,27,0
51,27,0
52,26,0
53,27,0
54,27,0
55,27,0
56,24,0
57,27,0
58,27,0
59,28,0
60,25,0
61,31,0
62,26,0
63,27,0
64,26,0
65,31,0
66,26,0
67,27,0
68,26,0
69,28,0
70,26,0
71,27,0
72,27,0
73,27,0
74,25,0
75,28,0
76,26,0
77,28,0
78,28,0
79,29,0
80,27,0
81,27,0
82,27,0
83,28,0
84,28,0
85,26,0
86,30,0
87,27,0
88,28,0
89,27,0
90,26,0
91,26,0
92,29,0
93,28,0
94,28,0
95,27,0
96,14,0
97,12,0
98,18,0
99,4,0
100,1,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,2
131,0,0
132,0,22
133,0,27
134,0,24
