"Interval start","discord udp 1","discord udp 2","discord udp 3"
0,20,0,0
1,2,0,0
2,3,0,0
3,31,0,0
4,32,0,0
5,32,0,0
6,32,0,0
7,32,0,0
8,31,0,0
9,31,0,0
10,32,0,0
11,34,0,0
12,33,0,0
13,36,0,0
14,31,0,0
15,33,0,0
16,36,0,0
17,32,0,0
18,34,0,0
19,31,0,0
20,35,0,0
21,32,0,0
22,32,0,0
23,32,0,0
24,32,0,0
25,32,0,0
26,34,2,0
27,31,0,0
28,32,0,0
29,31,0,0
30,37,0,0
31,31,0,0
32,32,0,0
33,32,0,0
34,35,0,0
35,32,0,0
36,32,0,0
37,37,0,0
38,31,0,0
39,26,0,0
40,5,27,0
41,0,37,0
42,0,33,0
43,0,32,0
44,0,34,0
45,0,31,0
46,0,32,0
47,0,28,0
48,0,37,0
49,0,32,0
50,0,38,0
51,0,31,0
52,0,33,0
53,0,31,0
54,0,37,0
55,0,32,0
56,0,31,0
57,0,34,0
58,0,34,0
59,0,26,0
60,0,32,0
61,0,32,0
62,0,25,0
63,0,25,0
64,0,30,0
65,0,31,0
66,0,28,0
67,0,33,0
68,0,32,0
69,0,29,0
70,0,29,0
71,0,32,0
72,0,32,0
73,0,28,0
74,0,34,0
75,0,32,0
76,0,32,0
77,0,32,0
78,0,32,0
79,0,37,0
80,0,32,0
81,0,36,0
82,0,33,0
83,0,33,0
84,0,32,0
85,0,32,0
86,0,31,0
87,0,28,0
88,0,32,0
89,0,29,0
90,0,33,0
91,0,33,0
92,0,32,0
93,0,32,0
94,0,30,0
95,0,27,0
96,0,29,0
97,0,32,0
98,0,30,0
99,0,32,0
100,0,32,0
101,0,32,0
102,0,32,0
103,0,34,0
104,0,36,0
105,0,30,0
106,0,21,0
107,0,11,0
108,0,2,0
109,0,1,0
110,0,1,0
111,0,4,0
112,0,3,2
113,0,0,23
114,0,0,30
115,0,0,32
116,0,0,32
117,0,0,33
118,0,0,32
119,0,0,32
120,0,0,37
121,0,0,34
122,0,0,32
123,0,0,32
124,0,0,32
125,0,0,32
126,0,0,33
127,0,0,28
128,0,0,32
129,0,0,33
130,0,0,33
131,0,0,38
132,0,0,31
133,0,0,32
134,0,0,31
135,0,0,32
136,0,0,34
137,0,0,9
