"Interval start","discord udp 1","discord udp 2","discord udp 3"
0,3,0,0
1,3,0,0
2,14,0,0
3,37,0,0
4,37,0,0
5,37,0,0
6,37,0,0
7,37,0,0
8,37,0,0
9,37,0,0
10,37,0,0
11,39,0,0
12,35,0,0
13,36,0,0
14,40,0,0
15,39,0,0
16,36,0,0
17,38,0,0
18,38,0,0
19,35,0,0
20,37,0,0
21,37,0,0
22,39,0,0
23,37,0,0
24,37,0,0
25,37,0,0
26,36,0,0
27,34,0,0
28,36,0,0
29,39,2,0
30,38,0,0
31,36,0,0
32,37,0,0
33,36,0,0
34,37,0,0
35,37,0,0
36,39,0,0
37,38,0,0
38,35,0,0
39,27,8,0
40,0,37,0
41,0,38,0
42,0,39,0
43,0,39,0
44,0,33,0
45,0,38,0
46,0,37,0
47,0,35,0
48,0,39,0
49,0,38,0
50,0,38,0
51,0,37,0
52,0,39,0
53,0,36,0
54,0,37,0
55,0,37,0
56,0,37,0
57,0,39,0
58,0,37,0
59,0,36,0
60,0,37,0
61,0,36,0
62,0,33,0
63,0,37,0
64,0,39,0
65,0,37,0
66,0,37,0
67,0,41,0
68,0,37,0
69,0,33,0
70,0,37,0
71,0,39,0
72,0,37,0
73,0,38,0
74,0,37,0
75,0,37,0
76,0,34,0
77,0,38,0
78,0,39,0
79,0,37,0
80,0,39,0
81,0,38,0
82,0,37,0
83,0,35,0
84,0,37,0
85,0,39,0
86,0,35,0
87,0,37,0
88,0,37,0
89,0,37,0
90,0,36,0
91,0,37,0
92,0,39,0
93,0,36,0
94,0,38,0
95,0,36,0
96,0,38,0
97,0,37,0
98,0,39,0
99,0,37,0
100,0,36,0
101,0,38,0
102,0,37,0
103,0,36,0
104,0,36,0
105,0,37,0
106,0,36,0
107,0,35,0
108,0,38,0
109,0,36,0
110,0,21,0
111,0,5,0
112,0,1,0
113,0,2,0
114,0,3,0
115,0,2,0
116,0,0,0
117,0,4,0
118,0,0,11
119,0,0,36
120,0,0,42
121,0,0,37
122,0,0,41
123,0,0,37
124,0,0,37
125,0,0,45
126,0,0,37
127,0,0,37
128,0,0,49
129,0,0,37
130,0,0,39
131,0,0,37
132,0,0,37
133,0,0,38
134,0,0,9
