"Interval start","discord udp 1","discord udp 2","discord udp 3"
0,29,0,0
1,33,0,0
2,13,0,0
3,9,0,0
4,53,0,0
5,52,0,0
6,52,0,0
7,51,0,0
8,51,0,0
9,51,0,0
10,52,0,0
11,52,0,0
12,52,0,0
13,52,0,0
14,50,0,0
15,54,0,0
16,51,0,0
17,52,0,0
18,50,0,0
19,51,0,0
20,55,0,0
21,50,0,0
22,52,0,0
23,51,0,0
24,52,0,0
25,52,0,0
26,48,0,0
27,50,0,0
28,53,0,0
29,50,0,0
30,52,0,0
31,53,0,0
32,50,0,0
33,52,0,0
34,50,0,0
35,55,0,0
36,44,0,0
37,50,0,0
38,52,0,0
39,50,0,0
40,54,0,0
41,51,0,0
42,52,0,0
43,50,0,0
44,49,0,0
45,52,0,0
46,51,0,0
47,52,0,0
48,46,0,0
49,52,0,0
50,53,0,0
51,53,0,0
52,43,0,0
53,52,0,0
54,49,4,0
55,0,54,0
56,0,50,0
57,0,50,0
58,0,53,0
59,0,50,0
60,0,55,0
61,0,46,0
62,0,51,0
63,0,52,0
64,0,50,0
65,0,54,0
66,0,50,0
67,0,54,0
68,0,50,0
69,0,52,0
70,0,53,0
71,0,51,0
72,0,51,0
73,0,50,0
74,0,52,0
75,0,49,0
76,0,53,0
77,0,45,0
78,0,53,0
79,0,50,0
80,0,52,0
81,0,52,0
82,0,50,0
83,0,54,0
84,0,50,0
85,0,54,0
86,0,50,0
87,0,52,0
88,0,50,0
89,0,50,0
90,0,55,0
91,0,50,0
92,0,53,0
93,0,50,0
94,0,52,0
95,0,52,0
96,0,51,0
97,0,52,0
98,0,50,0
99,0,53,0
100,0,52,0
101,0,53,0
102,0,50,0
103,0,49,0
104,0,49,0
105,0,53,0
106,0,52,0
107,0,50,0
108,0,53,0
109,0,50,0
110,0,55,0
111,0,50,0
112,0,52,0
113,0,50,0
114,0,48,4
115,0,0,55
116,0,0,51
117,0,0,52
118,0,0,50
119,0,0,53
120,0,0,48
121,0,0,51
122,0,0,51
123,0,0,50
124,0,0,53
125,0,0,52
126,0,0,53
127,0,0,50
128,0,0,53
129,0,0,50
130,0,0,54
131,0,0,51
132,0,0,52
133,0,0,50
134,0,0,51
135,0,0,10
