"Interval start","discord_udp_2","discord_udp_3","All_Packets"
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,12,0,0
6,52,0,0
7,51,0,0
8,52,0,0
9,43,0,0
10,54,0,0
11,51,0,0
12,50,0,0
13,52,0,0
14,51,0,0
15,55,0,0
16,50,0,0
17,52,0,0
18,50,0,0
19,51,0,0
20,54,0,0
21,50,0,0
22,53,0,0
23,51,0,0
24,52,0,0
25,52,0,0
26,53,0,0
27,50,0,0
28,50,0,0
29,52,0,0
30,52,0,0
31,54,0,0
32,50,0,0
33,52,0,0
34,43,0,0
35,53,0,0
36,50,0,0
37,50,0,0
38,52,0,0
39,47,0,0
40,54,0,0
41,48,0,0
42,49,0,0
43,50,0,0
44,52,0,0
45,52,0,0
46,44,0,0
47,53,0,0
48,46,0,0
49,52,0,0
50,52,0,0
51,53,0,0
52,47,0,0
53,32,0,0
54,51,0,0
55,54,0,0
56,52,0,0
57,50,0,0
58,52,0,0
59,49,0,0
60,27,0,0
61,51,0,0
62,51,0,0
63,53,0,0
64,50,0,0
65,43,0,14
66,0,0,49
67,0,0,41
68,0,0,50
69,0,0,50
70,0,0,54
71,0,0,52
72,0,0,52
73,0,0,50
74,0,0,52
75,0,0,53
76,0,0,52
77,0,0,49
78,0,0,31
79,0,0,53
80,0,0,53
81,0,0,52
82,0,0,50
83,0,0,32
84,0,0,50
85,0,0,54
86,0,0,51
87,0,0,51
88,0,0,52
89,0,0,46
90,0,0,54
91,0,0,51
92,0,0,52
93,0,0,50
94,0,0,50
95,0,0,55
96,0,0,51
97,0,0,32
98,0,0,50
99,0,0,52
100,0,0,48
101,0,0,50
102,0,0,52
103,0,0,52
104,0,0,47
105,0,0,52
106,0,0,52
107,0,0,49
108,0,0,52
109,0,0,51
110,0,0,52
111,0,0,53
112,0,0,50
113,0,0,52
114,0,0,41
115,0,0,54
116,0,0,50
117,0,0,51
118,0,0,52
119,0,0,47
120,0,0,54
121,0,0,50
122,0,0,53
123,0,0,50
124,0,0,52
125,0,12,42
126,0,50,0
127,0,49,0
128,0,51,0
129,0,52,0
130,0,52,0
131,0,52,0
132,0,47,0
133,0,50,0
134,0,49,0
135,0,53,0
136,0,45,0
